124,229,0,0
179,58,0,0
307,55,0,0
540,97,0,0
788,16,0,0
804,553,0,0
996,30,0,0
1118,71,0,0
1143,198,0,0
1155,16,0,0
1203,117,0,0
1247,243,0,0
1438,290,0,0
1578,130,0,0
1664,215,0,0
1670,233,0,0
1764,64,0,0
1826,308,1,256
1910,148,0,0
1965,33,1,538
2086,165,0,0
2115,818,0,0
2298,665,0,0
2300,64,0,0
2347,27,0,0
2357,20,0,0
2384,57,0,0
2426,212,0,0
2475,562,0,0
2547,25,0,0
2576,137,1,302
2681,195,0,0
2865,105,0,0
2899,142,0,0
3000,45,1,696
3171,18,0,0
3518,14,0,0
3750,67,0,0
4041,512,0,0
4146,173,0,0
4236,24,0,0
4255,8,0,0
4256,47,0,0
4292,520,0,0
4367,51,0,0
4489,38,0,0
4566,4,0,0
4682,208,1,718
4805,182,0,0
4815,92,0,0
4859,70,0,0
4956,37,0,0
5255,19,0,0
5480,21,0,0
5711,31,0,0
6080,3,0,0
6189,298,0,0
6198,61,0,0
6275,33,0,0
6298,229,0,0
6399,34,0,0
6739,92,0,0
6846,48,0,0
6903,19,0,0
7036,121,0,0
7058,28,0,0
7133,74,0,0
7407,68,0,0
8097,10,0,0
8101,12,0,0
8103,7,0,0
8265,271,0,0
8279,32,0,0
8527,214,0,0
8567,14,0,0
8598,49,1,615
8609,125,0,0
8715,46,0,0
8786,14,0,0
8834,34,0,0
8886,18,0,0
8976,3,0,0
8994,43,0,0
9089,23,0,0
9130,104,0,0
9166,38,0,0
9191,57,0,0
9261,103,0,0
9261,37,0,0
9311,17,0,0
9488,141,0,0
9519,58,0,0
9521,16,0,0
9560,132,0,0
9634,18,0,0
9722,8,0,0
9825,68,0,0
9835,35,0,0
9979,21,0,0
9990,337,0,0
10010,36,0,0
10263,23,0,0
10549,54,0,0
10669,47,1,211
10722,85,0,0
10728,45,0,0
10772,8,0,0
10795,4,1,161
10914,124,0,0
11017,18,0,0
11128,44,0,0
11144,142,0,0
11244,262,0,0
11272,27,0,0
11342,127,0,0
11364,361,0,0
11424,178,0,0
11531,451,1,375
11590,14,0,0
11655,52,1,251
11713,126,0,0
11741,15,0,0
11983,28,0,0
12068,6,0,0
12166,109,0,0
12274,39,0,0
12292,67,0,0
12294,40,0,0
12461,69,0,0
12479,174,0,0
12520,39,0,0
12602,39,0,0
12743,156,0,0
12766,143,0,0
12821,108,0,0
12852,88,0,0
13065,20,0,0
13160,67,0,0
13172,65,0,0
13186,47,0,0
13186,56,0,0
13220,78,0,0
13238,31,0,0
13305,107,0,0
13641,40,0,0
13648,15,0,0
13719,485,0,0
14037,108,1,373
14112,145,0,0
14407,28,0,0
14433,18,0,0
14571,31,0,0
14579,29,1,672
14645,27,0,0
14691,149,0,0
14711,65,0,0
14721,31,0,0
14816,46,0,0
14995,62,1,600
15494,225,0,0
15701,35,0,0
15704,31,0,0
15751,159,0,0
15990,31,0,0
16023,445,0,0
16034,9,0,0
16041,61,0,0
16118,103,0,0
16160,112,0,0
16216,85,0,0
16219,55,0,0
16231,4,0,0
16243,9,0,0
16308,62,1,554
16352,19,0,0
16364,145,0,0
16464,13,0,0
16519,139,0,0
16525,178,0,0
16559,9,0,0
16631,16,0,0
16631,54,0,0
16653,3,0,0
16705,45,0,0
16759,70,0,0
16794,474,0,0
16988,82,1,512
17048,22,0,0
17055,265,0,0
17063,148,0,0
17071,100,0,0
17228,79,0,0
17353,7,0,0
17515,53,0,0
17523,86,0,0
17581,19,0,0
17640,41,0,0
17666,15,0,0
17752,61,0,0
17847,79,0,0
18016,63,1,558
18060,3,0,0
18077,49,0,0
18111,125,0,0
18186,33,0,0
18244,48,0,0
18359,423,0,0
18367,23,0,0
18405,322,0,0
18514,15,0,0
18557,971,0,0
18558,40,0,0
18595,230,0,0
18598,272,0,0
18637,15,1,523
18699,338,0,0
18758,41,0,0
18893,15,0,0
19351,75,0,0
19369,117,0,0
19467,54,0,0
19659,12,0,0
19714,168,0,0
20121,13,0,0
20129,43,0,0
20175,676,0,0
20210,177,0,0
20266,90,0,0
20438,36,0,0
20742,57,0,0
20895,21,0,0
20908,23,0,0
20959,35,0,0
21000,95,0,0
21481,86,0,0
21829,50,0,0
21844,72,0,0
22205,60,0,0
22262,698,1,378
22336,14,0,0
22404,899,0,0
22767,40,0,0
22964,91,1,545
23008,82,0,0
23481,249,0,0
23517,137,0,0
24001,21,0,0
24231,52,0,0
24310,53,0,0
24315,14,1,89
24338,127,0,0
24356,37,0,0
24443,17,0,0
24600,23,0,0
24888,52,0,0
24910,220,1,651
24999,103,0,0
25004,1647,0,0
25123,113,0,0
25163,11,0,0
25234,18,0,0
25362,189,0,0
25546,22,0,0
25550,34,0,0
25557,15,0,0
25565,81,0,0
25676,219,0,0
25855,174,0,0
26022,54,0,0
26151,22,0,0
26363,76,0,0
26482,20,0,0
26485,725,0,0
26596,57,0,0
26682,97,0,0
26746,10,0,0
26854,36,0,0
27226,252,1,619
27275,154,1,219
27317,718,0,0
27383,61,0,0
27405,82,0,0
27425,58,0,0
27432,21,0,0
27449,14,0,0
27846,17,0,0
27872,20,0,0
27960,41,0,0
28113,11,0,0
28212,906,0,0
28216,26,0,0
28251,279,0,0
28385,70,1,315
28465,71,0,0
28465,12,0,0
28489,73,1,619
28492,96,0,0
